trait,exp,vis,vrank,null,negp,pip,hit,q,top
Type 2 diabetes,ISLET,-0.38731238,11,0.08490566037735849,13,0.1655287475913318,0,Q2,0
Type 2 diabetes,ISLET,-0.33868462,2,0.08490566037735849,13,0.0303259881111506,0,Q2,0
Type 2 diabetes,ISLET,0.28233716,5,0.08490566037735849,13,0.2336614517036607,0,Q3,0
Type 2 diabetes,ISLET,0.17504105,6,0.08490566037735849,13,0.2995888149865128,0,Q3,0
Type 2 diabetes,ISLET,-0.2972791,2,0.08490566037735849,13,0.4385184591192795,0,Q2,0
Type 2 diabetes,ISLET,-0.47720212,1,0.08490566037735849,13,0.1990538433142344,1,Q1,0
Type 2 diabetes,ISLET,2.0518312,3,0.08490566037735849,13,0.0536294839923646,0,Q4,1
Type 2 diabetes,ISLET,-0.59790355,9,0.08490566037735849,13,0.0822773460797827,0,Q1,0
Type 2 diabetes,ISLET,0.0312736,5,0.08490566037735849,13,0.1284604707269042,0,Q3,0
Type 2 diabetes,ISLET,-0.15150334,11,0.08490566037735849,13,0.1004034436267709,0,Q3,0
Type 2 diabetes,ISLET,-0.6063417,4,0.08490566037735849,13,0.6066039210857328,0,Q1,0
Type 2 diabetes,ISLET,2.1248078,6,0.08490566037735849,13,0.8739519587693256,0,Q4,1
Type 2 diabetes,ISLET,-0.56412005,5,0.08490566037735849,13,0.047200318351166,0,Q1,0
Type 2 diabetes,ISLET,4.0512676,4,0.08490566037735849,13,1.0,0,Q4,1
Type 2 diabetes,ISLET,1.0292703,2,0.08490566037735849,13,0.2027875864192821,0,Q4,1
Type 2 diabetes,ISLET,-0.3134111,9,0.08490566037735849,13,0.4006244296926825,0,Q2,0
Type 2 diabetes,ISLET,0.9395439,6,0.08490566037735849,12,0.2148041050064044,0,Q4,1
Type 2 diabetes,ISLET,-0.31047815,5,0.08490566037735849,12,0.2120631695775651,0,Q2,0
Type 2 diabetes,ISLET,0.9434427,1,0.08490566037735849,12,0.0682029118595411,1,Q4,1
Type 2 diabetes,ISLET,-0.5078183,1,0.08490566037735849,12,0.1070816501571297,1,Q1,0
Type 2 diabetes,ISLET,0.3881857,11,0.08490566037735849,12,0.9947660744701023,0,Q3,0
Type 2 diabetes,ISLET,3.8264053,7,0.08490566037735849,12,0.2714092223078375,0,Q4,1
Type 2 diabetes,ISLET,0.00993765,7,0.08490566037735849,12,0.2123842460182297,0,Q3,0
Type 2 diabetes,ISLET,-0.035364408,5,0.08490566037735849,12,1.0,0,Q3,0
Type 2 diabetes,ISLET,-0.5253348,10,0.08490566037735849,12,0.0231482389369743,0,Q1,0
Type 2 diabetes,ISLET,-0.5638347,10,0.08490566037735849,12,0.1198643136412732,0,Q1,0
Type 2 diabetes,ISLET,-0.28283668,11,0.08490566037735849,12,1.0,0,Q2,0
Type 2 diabetes,ISLET,-0.2558289,9,0.08490566037735849,12,0.1612595969742177,0,Q2,0
Type 2 diabetes,ISLET,-0.398432,6,0.08490566037735849,12,0.190847415131018,0,Q2,0
Type 2 diabetes,ISLET,0.4008183,10,0.08490566037735849,12,0.60411613624247,0,Q3,1
Type 2 diabetes,ISLET,-0.56442183,10,0.08490566037735849,12,0.0339642493422004,0,Q1,0
Type 2 diabetes,ISLET,-0.4128842,1,0.08490566037735849,12,0.524862870020849,1,Q2,0
Type 2 diabetes,ISLET,0.7482029,3,0.08490566037735849,11,0.0305536211099582,0,Q4,1
Type 2 diabetes,ISLET,0.0830429,10,0.08490566037735849,11,0.1174951952476733,0,Q3,0
Type 2 diabetes,ISLET,4.4222255,1,0.08490566037735849,11,0.464406460235961,1,Q4,1
Type 2 diabetes,ISLET,0.03627415,4,0.08490566037735849,11,0.1289609578636176,0,Q3,0
Type 2 diabetes,ISLET,-0.41474864,5,0.08490566037735849,11,0.2477141397213907,0,Q2,0
Type 2 diabetes,ISLET,0.33767787,6,0.08490566037735849,11,0.1309520770064769,0,Q3,0
Type 2 diabetes,ISLET,-0.44171914,10,0.08490566037735849,11,0.0678228907650009,0,Q2,0
Type 2 diabetes,ISLET,-0.56215346,10,0.08490566037735849,11,0.0673361014336486,0,Q1,0
Type 2 diabetes,ISLET,0.525987,5,0.08490566037735849,11,0.1942748221995089,0,Q4,1
Type 2 diabetes,ISLET,2.2123306,4,0.08490566037735849,11,0.3668709548556884,0,Q4,1
Type 2 diabetes,ISLET,-0.5186114,4,0.08490566037735849,11,0.0221668451513041,0,Q1,0
Type 2 diabetes,ISLET,-0.5732707,3,0.08490566037735849,11,0.062821884138166,0,Q1,0
Type 2 diabetes,ISLET,1.684372,10,0.08490566037735849,10,0.0442875890556049,0,Q4,1
Type 2 diabetes,ISLET,-0.14025603,8,0.08490566037735849,10,0.0328535046228234,0,Q3,0
Type 2 diabetes,ISLET,3.5829272,5,0.08490566037735849,10,0.1152756988868348,0,Q4,1
Type 2 diabetes,ISLET,-0.1922672,3,0.08490566037735849,10,0.1243929237999013,0,Q3,0
Type 2 diabetes,ISLET,-0.51591545,8,0.08490566037735849,10,0.1074504108580116,0,Q1,0
Type 2 diabetes,ISLET,0.53732854,9,0.08490566037735849,10,0.5306932624566707,0,Q4,1
Type 2 diabetes,ISLET,0.32079178,3,0.08490566037735849,10,1.0,0,Q3,0
Type 2 diabetes,ISLET,-0.5375592,11,0.08490566037735849,10,0.8428358677334105,0,Q1,0
Type 2 diabetes,ISLET,-0.37252882,4,0.08490566037735849,10,0.0867917758333133,0,Q2,0
Type 2 diabetes,ISLET,-0.45129424,7,0.08490566037735849,10,0.1434127339771115,0,Q2,0
Type 2 diabetes,ISLET,2.6235726,1,0.08490566037735849,10,1.0,1,Q4,1
Type 2 diabetes,ISLET,11.763551,7,0.08490566037735849,10,0.1305299495851908,0,Q4,1
Type 2 diabetes,ISLET,-0.57894033,6,0.08490566037735849,10,0.2330123354813096,0,Q1,0
Type 2 diabetes,ISLET,-0.20979494,6,0.08490566037735849,10,0.0542058711115946,0,Q3,0
Type 2 diabetes,ISLET,0.6654059,9,0.08490566037735849,10,0.0982129236762997,0,Q4,1
Type 2 diabetes,ISLET,-0.2650016,4,0.08490566037735849,10,0.0761489140468513,0,Q2,0
Type 2 diabetes,ISLET,0.1700456,1,0.08490566037735849,10,1.0,1,Q3,0
Type 2 diabetes,ISLET,-0.5915358,5,0.08490566037735849,10,0.0195570093080163,0,Q1,0
Type 2 diabetes,ISLET,-0.30516434,8,0.08490566037735849,10,0.0287727292866804,0,Q2,0
Type 2 diabetes,ISLET,-0.56352454,2,0.08490566037735849,10,0.6819911665906936,0,Q1,0
Type 2 diabetes,ISLET,-0.014290029,3,0.08490566037735849,10,0.9448951067277368,0,Q3,0
Type 2 diabetes,ISLET,6.616773,5,0.08490566037735849,9,0.9788607629702112,0,Q4,1
Type 2 diabetes,ISLET,0.43518525,4,0.08490566037735849,9,0.5370913935724307,0,Q4,1
Type 2 diabetes,ISLET,-0.56153685,3,0.08490566037735849,9,0.1944680779689666,0,Q1,0
Type 2 diabetes,ISLET,-0.52792907,4,0.08490566037735849,9,0.095292724376335,0,Q1,0
Type 2 diabetes,ISLET,1.241362,11,0.08490566037735849,9,0.1034977294173992,0,Q4,1
Type 2 diabetes,ISLET,5.5914416,10,0.08490566037735849,9,0.2548495518881755,0,Q4,1
Type 2 diabetes,ISLET,0.4964364,1,0.08490566037735849,9,0.3050639899973207,1,Q4,1
Type 2 diabetes,ISLET,-0.50527096,5,0.08490566037735849,9,0.1102027183839393,0,Q1,0
Type 2 diabetes,ISLET,-0.46511546,1,0.08490566037735849,9,0.0818138697732996,1,Q1,0
Type 2 diabetes,ISLET,-0.4289403,11,0.08490566037735849,9,0.0625711644145519,0,Q2,0
Type 2 diabetes,ISLET,-0.25845012,3,0.08490566037735849,9,0.039370196671736,0,Q2,0
Type 2 diabetes,ISLET,-0.55338967,5,0.08490566037735849,9,0.2204743619082828,0,Q1,0
Type 2 diabetes,ISLET,-0.3132063,3,0.08490566037735849,9,1.0,0,Q2,0
Type 2 diabetes,ISLET,-0.5916064,4,0.08490566037735849,9,0.7194853688609749,0,Q1,0
Type 2 diabetes,ISLET,-0.62685895,4,0.08490566037735849,9,0.3008604665044838,0,Q1,0
Type 2 diabetes,ISLET,-0.26426995,7,0.08490566037735849,9,0.512687681845082,0,Q2,0
Type 2 diabetes,ISLET,-0.54644907,7,0.08490566037735849,9,0.2485471301774142,0,Q1,0
Type 2 diabetes,ISLET,-0.33747417,11,0.08490566037735849,9,0.514539796281991,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.47541335,6,0.050314465408805034,317,1.0,0,Q1,0
Free cholesterol in large LDL,LIVER,6.2209296,1,0.050314465408805034,315,0.9608929747457098,1,Q4,1
Free cholesterol in large LDL,LIVER,21.722971,1,0.050314465408805034,217,0.9397467053945168,1,Q4,1
Free cholesterol in large LDL,LIVER,-0.36319807,1,0.050314465408805034,180,0.7862487986902005,1,Q2,0
Free cholesterol in large LDL,LIVER,-0.5796518,3,0.050314465408805034,178,0.972174302865338,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.4202341,9,0.050314465408805034,90,0.9993083714043172,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.17349178,1,0.050314465408805034,88,0.9999999375901004,1,Q3,0
Free cholesterol in large LDL,LIVER,0.38558513,7,0.050314465408805034,74,0.298534693821429,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.0888665,3,0.050314465408805034,55,1.0,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.65145975,3,0.050314465408805034,50,1.0,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.3514398,4,0.050314465408805034,48,0.4949539151927902,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.4692911,4,0.050314465408805034,41,0.8686435334438306,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.13649176,2,0.050314465408805034,35,0.7148033905565692,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.48371774,3,0.050314465408805034,33,1.0,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.034834217,6,0.050314465408805034,32,0.1023873011109664,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.29275948,9,0.050314465408805034,32,0.1861962179982432,0,Q2,0
Free cholesterol in large LDL,LIVER,0.28754812,8,0.050314465408805034,31,0.1358547269850168,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.2989123,1,0.050314465408805034,30,0.3459515244526865,1,Q2,0
Free cholesterol in large LDL,LIVER,-0.5920067,4,0.050314465408805034,24,0.9983473628444456,0,Q1,0
Free cholesterol in large LDL,LIVER,0.93851,10,0.050314465408805034,24,0.0255996945227477,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.2315176,1,0.050314465408805034,23,0.2451350030331007,1,Q2,0
Free cholesterol in large LDL,LIVER,-0.22157301,10,0.050314465408805034,23,0.97697166747701,0,Q2,0
Free cholesterol in large LDL,LIVER,30.93909,8,0.050314465408805034,23,0.5814565244900143,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.069401614,2,0.050314465408805034,22,0.4534295719265305,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.39427105,4,0.050314465408805034,22,0.9684017749787098,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.14383622,7,0.050314465408805034,22,0.3437465869002664,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.029003132,1,0.050314465408805034,21,0.2535939336338248,1,Q3,0
Free cholesterol in large LDL,LIVER,4.945151,1,0.050314465408805034,21,0.5452317205319761,1,Q4,1
Free cholesterol in large LDL,LIVER,-0.6583659,3,0.050314465408805034,20,0.4625721652768032,0,Q1,0
Free cholesterol in large LDL,LIVER,3.454415,1,0.050314465408805034,19,0.2214641922038165,1,Q4,1
Free cholesterol in large LDL,LIVER,-0.10872396,11,0.050314465408805034,19,0.7771719918663724,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.17217255,3,0.050314465408805034,19,0.838722333607438,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.45018664,5,0.050314465408805034,18,0.1021254863834096,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.4412775,8,0.050314465408805034,18,0.1556700402042459,0,Q2,0
Free cholesterol in large LDL,LIVER,1.4434791,10,0.050314465408805034,18,0.1615528119615352,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.35035747,7,0.050314465408805034,17,0.5226186766827764,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.43982136,3,0.050314465408805034,17,0.5386811624021048,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.40054074,5,0.050314465408805034,17,0.032911857122622,0,Q2,0
Free cholesterol in large LDL,LIVER,0.62896335,1,0.050314465408805034,17,0.2982365668477063,1,Q4,1
Free cholesterol in large LDL,LIVER,-0.48043662,2,0.050314465408805034,16,0.5103860300786984,0,Q1,0
Free cholesterol in large LDL,LIVER,1.0168562,11,0.050314465408805034,16,0.9991396632283024,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.22426079,10,0.050314465408805034,15,0.1892090001106997,0,Q2,0
Free cholesterol in large LDL,LIVER,0.4636075,10,0.050314465408805034,15,0.3800019758194481,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.58923507,5,0.050314465408805034,14,0.255691662167344,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.6182162,3,0.050314465408805034,14,0.4414709408160351,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.20589077,9,0.050314465408805034,14,0.9986813137780268,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.1133054,3,0.050314465408805034,13,0.458289948947007,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.21823953,4,0.050314465408805034,13,0.331461661083302,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.4406496,5,0.050314465408805034,13,0.2212537957124615,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.5038288,7,0.050314465408805034,13,0.0315770360715356,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.034905653,9,0.050314465408805034,13,0.1889806480599988,0,Q3,0
Free cholesterol in large LDL,LIVER,0.40835547,7,0.050314465408805034,12,0.1906797542196035,0,Q3,1
Free cholesterol in large LDL,LIVER,-0.57265306,5,0.050314465408805034,12,0.2987920289089319,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.16988842,5,0.050314465408805034,12,0.3426507462626648,0,Q3,0
Free cholesterol in large LDL,LIVER,1.6166958,1,0.050314465408805034,12,0.6467903199585519,1,Q4,1
Free cholesterol in large LDL,LIVER,-0.07917136,4,0.050314465408805034,12,0.2891688115302175,0,Q3,0
Free cholesterol in large LDL,LIVER,2.0274189,10,0.050314465408805034,12,0.5368501089115816,0,Q4,1
Free cholesterol in large LDL,LIVER,2.2408261,7,0.050314465408805034,12,0.4025926135904143,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.2940347,3,0.050314465408805034,12,0.04453184247614,0,Q2,0
Free cholesterol in large LDL,LIVER,0.62441427,3,0.050314465408805034,12,0.995971689296546,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.016006421,7,0.050314465408805034,11,0.2571868367350196,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.3600004,5,0.050314465408805034,11,0.3031203628552887,0,Q2,0
Free cholesterol in large LDL,LIVER,0.6937269,6,0.050314465408805034,11,0.2412645199373537,0,Q4,1
Free cholesterol in large LDL,LIVER,1.5344554,1,0.050314465408805034,11,0.0973211110584276,1,Q4,1
Free cholesterol in large LDL,LIVER,-0.41840234,7,0.050314465408805034,11,0.571731221831569,0,Q2,0
Free cholesterol in large LDL,LIVER,0.009167183,9,0.050314465408805034,11,0.112602976552288,0,Q3,0
Free cholesterol in large LDL,LIVER,0.10978909,3,0.050314465408805034,11,0.1146649724964569,0,Q3,0
Free cholesterol in large LDL,LIVER,0.5757048,9,0.050314465408805034,11,0.0302200620530586,0,Q4,1
Free cholesterol in large LDL,LIVER,1.0636888,5,0.050314465408805034,11,0.1863424959904799,0,Q4,1
Free cholesterol in large LDL,LIVER,0.1997441,5,0.050314465408805034,11,0.8027245136434217,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.41870293,7,0.050314465408805034,11,0.8405634921665295,0,Q2,0
Free cholesterol in large LDL,LIVER,0.29551098,5,0.050314465408805034,11,0.0819796203624885,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.5041574,8,0.050314465408805034,11,0.0947788571442673,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.52090454,1,0.050314465408805034,10,0.218299776638555,1,Q1,0
Free cholesterol in large LDL,LIVER,0.051971592,10,0.050314465408805034,10,0.3030725535680268,0,Q3,0
Free cholesterol in large LDL,LIVER,2.3099012,9,0.050314465408805034,10,0.7359074716279999,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.49901986,6,0.050314465408805034,10,0.0762758098951254,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.32008585,7,0.050314465408805034,10,0.8998456618906524,0,Q2,0
Free cholesterol in large LDL,LIVER,0.38786638,8,0.050314465408805034,10,0.491100851422185,0,Q3,1
Free cholesterol in large LDL,LIVER,-0.069711454,11,0.050314465408805034,10,0.9273969599247824,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.17143762,6,0.050314465408805034,10,0.0309490639917498,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.56631005,6,0.050314465408805034,10,0.090999495996518,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.11858737,2,0.050314465408805034,10,0.1154197147129163,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.03446215,5,0.050314465408805034,10,1.0,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.43010378,5,0.050314465408805034,10,0.0194761811239907,0,Q2,0
Free cholesterol in large LDL,LIVER,3.3513422,3,0.050314465408805034,10,0.2958018110870056,0,Q4,1
Free cholesterol in large LDL,LIVER,2.4143465,9,0.050314465408805034,10,0.1373188801529823,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.42173722,4,0.050314465408805034,10,0.014745846943285,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.44888195,2,0.050314465408805034,10,0.0166477739912506,0,Q2,0
Free cholesterol in large LDL,LIVER,0.7952463,10,0.050314465408805034,10,0.1362583300777677,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.41800284,10,0.050314465408805034,9,0.0549177228492278,0,Q2,0
Free cholesterol in large LDL,LIVER,0.2543355,4,0.050314465408805034,9,0.1307950912490517,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.5291626,5,0.050314465408805034,9,0.0318221818777559,0,Q1,0
Free cholesterol in large LDL,LIVER,0.2475561,1,0.050314465408805034,9,0.0137777353185885,1,Q3,0
Free cholesterol in large LDL,LIVER,-0.4471017,5,0.050314465408805034,9,0.0256207438314847,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.32812744,2,0.050314465408805034,9,0.9455155056476464,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.48213744,5,0.050314465408805034,9,0.1897253977456734,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.56543237,6,0.050314465408805034,9,0.2020442090792425,0,Q1,0
Free cholesterol in large LDL,LIVER,0.5999295,7,0.050314465408805034,9,0.2374375225296748,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.004378062,11,0.050314465408805034,9,0.4917966388929034,0,Q3,0
Free cholesterol in large LDL,LIVER,-0.590334,5,0.050314465408805034,9,0.0659935098890941,0,Q1,0
Free cholesterol in large LDL,LIVER,0.56924784,9,0.050314465408805034,9,0.5488895732271274,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.22643282,5,0.050314465408805034,9,0.1530680910271002,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.4341758,2,0.050314465408805034,9,0.1164966533268994,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.39268345,5,0.050314465408805034,9,0.0395262355794808,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.22566357,10,0.050314465408805034,9,0.0542630204624908,0,Q2,0
Free cholesterol in large LDL,LIVER,-0.56266886,5,0.050314465408805034,9,0.5281983441668144,0,Q1,0
Free cholesterol in large LDL,LIVER,-0.07019553,10,0.050314465408805034,9,0.344353299496379,0,Q3,0
Free cholesterol in large LDL,LIVER,3.187614,8,0.050314465408805034,9,0.3270909563732053,0,Q4,1
Free cholesterol in large LDL,LIVER,4.6317587,7,0.050314465408805034,9,1.0,0,Q4,1
Free cholesterol in large LDL,LIVER,-0.2572216,6,0.050314465408805034,8,0.1965636747419878,0,Q2,0
HDL cholesterol,LIVER,0.00047889774,7,0.050314465408805034,323,0.9932583715116956,0,Q3,0
HDL cholesterol,LIVER,-0.26137316,11,0.050314465408805034,323,0.9501449616779916,0,Q2,0
HDL cholesterol,LIVER,-0.6098055,2,0.050314465408805034,302,0.9999818891607156,0,Q1,0
HDL cholesterol,LIVER,0.43573457,1,0.050314465408805034,298,1.0,1,Q4,0
HDL cholesterol,LIVER,-0.39427105,4,0.050314465408805034,264,0.9999999999998844,0,Q2,0
